0x0 EFST_PROVOKE
0x1 EFST_ENDURE
0x2 EFST_TWOHANDQUICKEN
0x3 EFST_CONCENTRATION
0x4 EFST_HIDING
0x5 EFST_CLOAKING
0x6 EFST_ENCHANTPOISON
0x7 EFST_POISONREACT
0x8 EFST_QUAGMIRE
0x9 EFST_ANGELUS
0xa EFST_BLESSING
0xb EFST_CRUCIS
0xc EFST_INC_AGI
0xd EFST_DEC_AGI
0xe EFST_SLOWPOISON
0xf EFST_IMPOSITIO
0x10 EFST_SUFFRAGIUM
0x11 EFST_ASPERSIO
0x12 EFST_BENEDICTIO
0x13 EFST_KYRIE
0x14 EFST_MAGNIFICAT
0x15 EFST_GLORIA
0x16 EFST_LEXAETERNA
0x17 EFST_ADRENALINE
0x18 EFST_WEAPONPERFECT
0x19 EFST_OVERTHRUST
0x1a EFST_MAXIMIZE
0x1b EFST_RIDING
0x1c EFST_FALCON
0x1d EFST_TRICKDEAD
0x1e EFST_SHOUT
0x1f EFST_ENERGYCOAT
0x20 EFST_BROKENARMOR
0x21 EFST_BROKENWEAPON
0x22 EFST_ILLUSION
0x23 EFST_WEIGHTOVER50
0x24 EFST_WEIGHTOVER90
0x25 EFST_ATTHASTE_POTION1
0x26 EFST_ATTHASTE_POTION2
0x27 EFST_ATTHASTE_POTION3
0x28 EFST_ATTHASTE_INFINITY
0x29 EFST_MOVHASTE_POTION
0x2a EFST_MOVHASTE_INFINITY
0x2b EFST_AUTOCOUNTER
0x2c EFST_SPLASHER
0x2d EFST_ANKLESNARE
0x2e EFST_POSTDELAY
0x2f EFST_NOACTION
0x30 EFST_IMPOSSIBLEPICKUP
0x31 EFST_BARRIER
0x32 EFST_NOEQUIPWEAPON
0x33 EFST_NOEQUIPSHIELD
0x34 EFST_NOEQUIPARMOR
0x35 EFST_NOEQUIPHELM
0x36 EFST_PROTECTWEAPON
0x37 EFST_PROTECTSHIELD
0x38 EFST_PROTECTARMOR
0x39 EFST_PROTECTHELM
0x3a EFST_AUTOGUARD
0x3b EFST_REFLECTSHIELD
0x3c EFST_DEVOTION
0x3d EFST_PROVIDENCE
0x3e EFST_DEFENDER
0x3f EFST_MAGICROD
0x40 EFST_WEAPONPROPERTY
0x41 EFST_AUTOSPELL
0x42 EFST_SPECIALZONE
0x43 EFST_MASK
0x44 EFST_SPEARQUICKEN
0x45 EFST_BDPLAYING
0x46 EFST_WHISTLE
0x47 EFST_ASSASSINCROSS
0x48 EFST_POEMBRAGI
0x49 EFST_APPLEIDUN
0x4a EFST_HUMMING
0x4b EFST_DONTFORGETME
0x4c EFST_FORTUNEKISS
0x4d EFST_SERVICEFORYOU
0x4e EFST_RICHMANKIM
0x4f EFST_ETERNALCHAOS
0x50 EFST_DRUMBATTLEFIELD
0x51 EFST_RINGNIBELUNGEN
0x52 EFST_ROKISWEIL
0x53 EFST_INTOABYSS
0x54 EFST_SIEGFRIED
0x55 EFST_BLADESTOP
0x56 EFST_EXPLOSIONSPIRITS
0x57 EFST_STEELBODY
0x58 EFST_EXTREMITYFIST
0x59 EFST_COMBOATTACK
0x5a EFST_PROPERTYFIRE
0x5b EFST_PROPERTYWATER
0x5c EFST_PROPERTYWIND
0x5d EFST_PROPERTYGROUND
0x5e EFST_MAGICATTACK
0x5f EFST_STOP
0x60 EFST_WEAPONBRAKER
0x61 EFST_PROPERTYUNDEAD
0x62 EFST_POWERUP
0x63 EFST_AGIUP
0x64 EFST_SIEGEMODE
0x65 EFST_INVISIBLE
0x66 EFST_STATUSONE
0x67 EFST_AURABLADE
0x68 EFST_PARRYING
0x69 EFST_LKCONCENTRATION
0x6a EFST_TENSIONRELAX
0x6b EFST_BERSERK
0x6c EFST_SACRIFICE
0x6d EFST_GOSPEL
0x6e EFST_ASSUMPTIO
0x6f EFST_BASILICA
0x70 EFST_GROUNDMAGIC
0x71 EFST_MAGICPOWER
0x72 EFST_EDP
0x73 EFST_TRUESIGHT
0x74 EFST_WINDWALK
0x75 EFST_MELTDOWN
0x76 EFST_CARTBOOST
0x77 EFST_CHASEWALK
0x78 EFST_SWORDREJECT
0x79 EFST_MARIONETTE_MASTER
0x7a EFST_MARIONETTE
0x7b EFST_MOON
0x7c EFST_BLOODING
0x7d EFST_JOINTBEAT
0x7e EFST_MINDBREAKER
0x7f EFST_MEMORIZE
0x80 EFST_FOGWALL
0x81 EFST_SPIDERWEB
0x82 EFST_PROTECTEXP
0x83 EFST_SUB_WEAPONPROPERTY
0x84 EFST_AUTOBERSERK
0x85 EFST_RUN
0x86 EFST_TING
0x87 EFST_STORMKICK_ON
0x88 EFST_STORMKICK_READY
0x89 EFST_DOWNKICK_ON
0x8a EFST_DOWNKICK_READY
0x8b EFST_TURNKICK_ON
0x8c EFST_TURNKICK_READY
0x8d EFST_COUNTER_ON
0x8e EFST_COUNTER_READY
0x8f EFST_DODGE_ON
0x90 EFST_DODGE_READY
0x91 EFST_STRUP
0x92 EFST_PROPERTYDARK
0x93 EFST_ADRENALINE2
0x94 EFST_PROPERTYTELEKINESIS
0x95 EFST_SOULLINK
0x96 EFST_PLUSATTACKPOWER
0x97 EFST_PLUSMAGICPOWER
0x98 EFST_DEVIL1
0x99 EFST_KAITE
0x9a EFST_SWOO
0x9b EFST_STAR2
0x9c EFST_KAIZEL
0x9d EFST_KAAHI
0x9e EFST_KAUPE
0x9f EFST_SMA_READY
0xa0 EFST_SKE
0xa1 EFST_ONEHANDQUICKEN
0xa2 EFST_FRIEND
0xa3 EFST_FRIENDUP
0xa4 EFST_SG_WARM
0xa5 EFST_SG_SUN_WARM
0xa6 EFST_SG_MOON_WARM
0xa7 EFST_SG_STAR_WARM
0xa8 EFST_EMOTION
0xa9 EFST_SUN_COMFORT
0xaa EFST_MOON_COMFORT
0xab EFST_STAR_COMFORT
0xac EFST_EXPUP
0xad EFST_GDSKILL_BATTLEORDER
0xae EFST_GDSKILL_REGENERATION
0xaf EFST_GDSKILL_POSTDELAY
0xb0 EFST_RESISTHANDICAP
0xb1 EFST_MAXHPPERCENT
0xb2 EFST_MAXSPPERCENT
0xb3 EFST_DEFENCE
0xb4 EFST_SLOWDOWN
0xb5 EFST_PRESERVE
0xb6 EFST_CHASEWALK2
0xb7 EFST_NOT_EXTREMITYFIST
0xb8 EFST_CLAIRVOYANCE
0xb9 EFST_MOVESLOW_POTION
0xba EFST_DOUBLECASTING
0xbb EFST_GRAVITATION
0xbc EFST_OVERTHRUSTMAX
0xbd EFST_LONGING
0xbe EFST_HERMODE
0xbf EFST_TAROTCARD
0xc0 EFST_HLIF_AVOID
0xc1 EFST_HFLI_FLEET
0xc2 EFST_HFLI_SPEED
0xc3 EFST_HLIF_CHANGE
0xc4 EFST_HAMI_BLOODLUST
0xc5 EFST_CR_SHRINK
0xc6 EFST_WZ_SIGHTBLASTER
0xc7 EFST_DC_WINKCHARM
0xc8 EFST_RG_CCONFINE_M
0xc9 EFST_RG_CCONFINE_S
0xca EFST_DISABLEMOVE
0xcb EFST_GS_MADNESSCANCEL
0xcc EFST_GS_GATLINGFEVER
