# http://openkore-brasil.com 
# http://revok.com.br/ 
# RO packet extractor v0 Revok [11:40 (UTC -03:00) 25-03-2014] 
# Unpacked or Unknown .exe Packer 
# Target: 2014-03-25aRagexe.exe 
# MD5: ?  CRC32: ? 
# MID Encryption keys are K: 1593005323 M: 341802953 A: 378471902
# PIN addfactor: 0x881234 and multfactor: 0x3498
# Storage Encryption keys are K: 050B6F79, 0202C179, 0E20120, 04FA43E3, 0179B6C8, 05973DF2, 07D8D6B, 08CB9ED9

# Packet ID | Packet Length | Packet Min Length | Repeat Factor | Packet Description
0369 7 7 0		send::actor_action
083C 10 10 0	send::skill_use
0437 5 5 0		send::character_move
035F 6 6 0		send::sync
092E 5 5 0		send::actor_look_at
07E4 6 6 0		send::item_take
0362 6 6 0		send::item_drop
07EC 8 8 0		send::storage_item_add
0364 8 8 0		send::storage_item_remove
0438 10 10 0	send::skill_use_location
0366 90 90 0	send::skill_use_with_text
0202 6 6 0		send::actor_info_request
0368 6 6 0		send::actor_name_request
0838 12 12 0	CZ_SSILIST_ITEM_CLICK
0835 2 2 0		PACKET_CZ_SEARCH_STORE_INFO_NEXT_PAGE
0819 -1 15 0	PACKET_CZ_SEARCH_STORE_INFO
0811 -1 12 0
0360 6 6 0
023B 2 2 0
0815 -1 89 0
0365 18 18 0
0363 8 8 0
0281 -1 12 0	PACKET_CZ_ITEMLISTWIN_RES
086E 19 19 0	send::map_login
0802 26 26 0	send::party_join_request_by_name
0436 4 4 0
096A 26 26 0	friend request?
0888 5 5 0		send::homunculus_command
0817 36 36 0	send::storage_packet
0367 2 2 0		receive::sync_request_ex
085A 2 2 0		receive::sync_request_ex
085B 2 2 0		receive::sync_request_ex
085C 2 2 0		receive::sync_request_ex
085D 2 2 0		receive::sync_request_ex
085E 2 2 0		receive::sync_request_ex
085F 2 2 0		receive::sync_request_ex
0860 2 2 0		receive::sync_request_ex
0861 2 2 0		receive::sync_request_ex
0862 2 2 0		receive::sync_request_ex
0863 2 2 0		receive::sync_request_ex
0864 2 2 0		receive::sync_request_ex
0865 2 2 0		receive::sync_request_ex
0866 2 2 0		receive::sync_request_ex
0867 2 2 0		receive::sync_request_ex
0868 2 2 0		receive::sync_request_ex
0869 2 2 0		receive::sync_request_ex
086A 2 2 0		receive::sync_request_ex
086B 2 2 0		receive::sync_request_ex
086C 2 2 0		receive::sync_request_ex
0940 2 2 0		receive::sync_request_ex
086D 2 2 0		receive::sync_request_ex
086F 2 2 0		receive::sync_request_ex
0870 2 2 0		receive::sync_request_ex
0871 2 2 0		receive::sync_request_ex
0872 2 2 0		receive::sync_request_ex
0873 2 2 0		receive::sync_request_ex
0874 2 2 0		receive::sync_request_ex
0875 2 2 0		receive::sync_request_ex
0876 2 2 0		receive::sync_request_ex
0877 2 2 0		receive::sync_request_ex
0878 2 2 0		receive::sync_request_ex
0879 2 2 0		receive::sync_request_ex
087A 2 2 0		receive::sync_request_ex
087B 2 2 0		receive::sync_request_ex
087C 2 2 0		receive::sync_request_ex
087D 2 2 0		receive::sync_request_ex
087E 2 2 0		receive::sync_request_ex
087F 2 2 0		receive::sync_request_ex
0880 2 2 0		receive::sync_request_ex
0881 2 2 0		receive::sync_request_ex
0882 2 2 0		receive::sync_request_ex
0883 2 2 0		receive::sync_request_ex
0917 2 2 0		receive::sync_request_ex
0918 2 2 0		receive::sync_request_ex
0919 2 2 0		receive::sync_request_ex
091A 2 2 0		receive::sync_request_ex
091B 2 2 0		receive::sync_request_ex
091C 2 2 0		receive::sync_request_ex
091D 2 2 0		receive::sync_request_ex
091E 2 2 0		receive::sync_request_ex
091F 2 2 0		receive::sync_request_ex
0920 2 2 0		receive::sync_request_ex
0921 2 2 0		receive::sync_request_ex
0922 2 2 0		receive::sync_request_ex
0923 2 2 0		receive::sync_request_ex
0924 2 2 0		receive::sync_request_ex
0925 2 2 0		receive::sync_request_ex
0926 2 2 0		receive::sync_request_ex
0927 2 2 0		receive::sync_request_ex
0928 2 2 0		receive::sync_request_ex
0929 2 2 0		receive::sync_request_ex
092A 2 2 0		receive::sync_request_ex
092B 2 2 0		receive::sync_request_ex
092C 2 2 0		receive::sync_request_ex
092D 2 2 0		receive::sync_request_ex
0361 2 2 0		receive::sync_request_ex
092F 2 2 0		receive::sync_request_ex
0930 2 2 0		receive::sync_request_ex
0931 2 2 0		receive::sync_request_ex
0932 2 2 0		receive::sync_request_ex
0933 2 2 0		receive::sync_request_ex
0934 2 2 0		receive::sync_request_ex
0935 2 2 0		receive::sync_request_ex
0936 2 2 0		receive::sync_request_ex
0937 2 2 0		receive::sync_request_ex
0938 2 2 0		receive::sync_request_ex
0939 2 2 0		receive::sync_request_ex
093A 2 2 0		receive::sync_request_ex
093B 2 2 0		receive::sync_request_ex
093C 2 2 0		receive::sync_request_ex
093D 2 2 0		receive::sync_request_ex
093E 2 2 0		receive::sync_request_ex
093F 2 2 0		receive::sync_request_ex
02C4 2 2 0		send::sync_ex_question_reply
0884 2 2 0		send::sync_ex_question_reply
0885 2 2 0		send::sync_ex_question_reply
0886 2 2 0		send::sync_ex_question_reply
0887 2 2 0		send::sync_ex_question_reply
022D 2 2 0		send::sync_ex_question_reply
0889 2 2 0		send::sync_ex_question_reply
088A 2 2 0		send::sync_ex_question_reply
088B 2 2 0		send::sync_ex_question_reply
088C 2 2 0		send::sync_ex_question_reply
088D 2 2 0		send::sync_ex_question_reply
088E 2 2 0		send::sync_ex_question_reply
088F 2 2 0		send::sync_ex_question_reply
0890 2 2 0		send::sync_ex_question_reply
0891 2 2 0		send::sync_ex_question_reply
0892 2 2 0		send::sync_ex_question_reply
0893 2 2 0		send::sync_ex_question_reply
0894 2 2 0		send::sync_ex_question_reply
0895 2 2 0		send::sync_ex_question_reply
0896 2 2 0		send::sync_ex_question_reply
0897 2 2 0		send::sync_ex_question_reply
0898 2 2 0		send::sync_ex_question_reply
0899 2 2 0		send::sync_ex_question_reply
089A 2 2 0		send::sync_ex_question_reply
089B 2 2 0		send::sync_ex_question_reply
089C 2 2 0		send::sync_ex_question_reply
089D 2 2 0		send::sync_ex_question_reply
089E 2 2 0		send::sync_ex_question_reply
089F 2 2 0		send::sync_ex_question_reply
08A0 2 2 0		send::sync_ex_question_reply
08A1 2 2 0		send::sync_ex_question_reply
08A2 2 2 0		send::sync_ex_question_reply
08A3 2 2 0		send::sync_ex_question_reply
08A4 2 2 0		send::sync_ex_question_reply
08A5 2 2 0		send::sync_ex_question_reply
08A6 2 2 0		send::sync_ex_question_reply
08A7 2 2 0		send::sync_ex_question_reply
08A8 2 2 0		send::sync_ex_question_reply
08A9 2 2 0		send::sync_ex_question_reply
08AA 2 2 0		send::sync_ex_question_reply
08AB 2 2 0		send::sync_ex_question_reply
08AC 2 2 0		send::sync_ex_question_reply
08AD 2 2 0		send::sync_ex_question_reply
0941 2 2 0		send::sync_ex_question_reply
0942 2 2 0		send::sync_ex_question_reply
0943 2 2 0		send::sync_ex_question_reply
0944 2 2 0		send::sync_ex_question_reply
0945 2 2 0		send::sync_ex_question_reply
0946 2 2 0		send::sync_ex_question_reply
0947 2 2 0		send::sync_ex_question_reply
0948 2 2 0		send::sync_ex_question_reply
0949 2 2 0		send::sync_ex_question_reply
094A 2 2 0		send::sync_ex_question_reply
094B 2 2 0		send::sync_ex_question_reply
094C 2 2 0		send::sync_ex_question_reply
094D 2 2 0		send::sync_ex_question_reply
094E 2 2 0		send::sync_ex_question_reply
094F 2 2 0		send::sync_ex_question_reply
0950 2 2 0		send::sync_ex_question_reply
0951 2 2 0		send::sync_ex_question_reply
0952 2 2 0		send::sync_ex_question_reply
0953 2 2 0		send::sync_ex_question_reply
0954 2 2 0		send::sync_ex_question_reply
0955 2 2 0		send::sync_ex_question_reply
0956 2 2 0		send::sync_ex_question_reply
0957 2 2 0		send::sync_ex_question_reply
0958 2 2 0		send::sync_ex_question_reply
0959 2 2 0		send::sync_ex_question_reply
095A 2 2 0		send::sync_ex_question_reply
095B 2 2 0		send::sync_ex_question_reply
095C 2 2 0		send::sync_ex_question_reply
095D 2 2 0		send::sync_ex_question_reply
095E 2 2 0		send::sync_ex_question_reply
095F 2 2 0		send::sync_ex_question_reply
0960 2 2 0		send::sync_ex_question_reply
0961 2 2 0		send::sync_ex_question_reply
0962 2 2 0		send::sync_ex_question_reply
0963 2 2 0		send::sync_ex_question_reply
0964 2 2 0		send::sync_ex_question_reply
0965 2 2 0		send::sync_ex_question_reply
0966 2 2 0		send::sync_ex_question_reply
0967 2 2 0		send::sync_ex_question_reply
0968 2 2 0		send::sync_ex_question_reply
0969 2 2 0		send::sync_ex_question_reply
0187 6 6 0
0081 3 3 0
01C6 4 4 0		PACKET_CS_REQ_ENCRYPTION
01C7 2 2 1		PACKET_SC_ACK_ENCRYPTION
0064 55 55 0	send::master_login (PACKET_CA_LOGIN)
0069 -1 47 0	receive::account_server_info (PACKET_AC_ACCEPT_LOGIN)
006A 23 23 0	receive::login_error (PACKET_AC_REFUSE_LOGIN)
01DB 2 2 0		send::secure_login_key_request (PACKET_CA_REQ_HASH)
01DC -1 4 0		receive::secure_login_key (PACKET_AC_ACK_HASH)
01DD 47 47 0	send::master_login (PACKET_CA_LOGIN2)
01FA 48 48 0	send::master_login (PACKET_CA_LOGIN3)
0204 18 18 0	send::client_hash (PACKET_CA_EXE_HASHCHECK)
01F1 -1 4 0		PACKET_AC_NOTIFY_ERROR
0200 26 26 0	PACKET_CA_CONNECT_INFO_CHANGED
01BE 2 2 0		PACKET_AC_ASK_PNGAMEROOM
01BF 3 3 0		PACKET_CA_REPLY_PNGAMEROOM
0065 17 17 0	send::game_login (PACKET_CH_ENTER)
0066 3 3 0		send::char_login (PACKET_CH_SELECT_CHAR)
0067 37 37 0	send::char_create (PACKET_CH_MAKE_CHAR)
0970 31 31 0
020D -1 4 0		PACKET_HC_BLOCK_CHARACTER
006B -1 4 0		receive::received_characters (PACKET_HC_ACCEPT_ENTER_NEO_UNION)
006C 3 3 0		receive::login_error_game_login_server (PACKET_HC_REFUSE_ENTER)
006D 126 126 0	receive::character_creation_successful (PACKET_HC_ACCEPT_MAKECHAR_NEO_UNION)
006E 3 3 0		receive::character_creation_failed (PACKET_HC_REFUSE_MAKECHAR)
0071 28 28 0	receive::received_character_ID_and_Map (PACKET_HC_NOTIFY_ZONESVR)
0068 46 46 0	send::char_delete (PACKET_CH_DELETE_CHAR)
01FB 56 56 0	PACKET_CH_DELETE_CHAR2
006F 2 2 0		receive::character_deletion_successful (PACKET_HC_ACCEPT_DELETECHAR)
0070 3 3 0		receive::character_deletion_failed (PACKET_HC_REFUSE_DELETECHAR)
02CA 3 3 0		receive::login_error_game_login_server (PACKET_HC_REFUSE_SELECTCHAR)
0072 19 19 0	send::map_login (PACKET_CZ_ENTER)
0082 2 2 0		PACKET_CZ_REQUEST_QUIT
0085 5 5 0		send::character_move (PACKET_CZ_REQUEST_MOVE)
0089 7 7 0		send::actor_action (PACKET_CZ_REQUEST_ACT)
008C -1 4 0		send::public_chat (PACKET_CZ_REQUEST_CHAT)
007E 6 6 0		send::sync (PACKET_CZ_REQUEST_TIME)
007D 2 2 0		send::map_loaded (PACKET_CZ_NOTIFY_ACTORINIT)
0090 7 7 0		PACKET_CZ_CONTACTNPC
0099 -1 4 0		PACKET_CZ_BROADCAST
019C -1 4 0		PACKET_CZ_LOCALBROADCAST
009B 5 5 0		send::actor_look_at (PACKET_CZ_CHANGE_DIRECTION)
00CC 6 6 0		PACKET_CZ_DISCONNECT_CHARACTER
00CE 2 2 0		PACKET_CZ_DISCONNECT_ALL_CHARACTER
009F 6 6 0		send::item_take (PACKET_CZ_ITEM_PICKUP)
00A2 6 6 0		send::item_drop (PACKET_CZ_ITEM_THROW)
00A7 8 8 0		PACKET_CZ_USE_ITEM
00A9 6 6 0		PACKET_CZ_REQ_WEAR_EQUIP
00AB 4 4 0		PACKET_CZ_REQ_TAKEOFF_EQUIP
00B8 7 7 0		PACKET_CZ_CHOOSE_MENU
00B9 6 6 0		PACKET_CZ_REQ_NEXT_SCRIPT
00B2 3 3 0		send::restart (PACKET_CZ_RESTART)
00BA 2 2 0		PACKET_CZ_REQ_STATUS
00BB 5 5 0		PACKET_CZ_STATUS_CHANGE
00BF 3 3 0		PACKET_CZ_REQ_EMOTION
00C1 2 2 0		PACKET_CZ_REQ_USER_COUNT
00C5 7 7 0		PACKET_CZ_ACK_SELECT_DEALTYPE
00C8 -1 4 0		PACKET_CZ_PC_PURCHASE_ITEMLIST
00C9 -1 4 0		PACKET_CZ_PC_SELL_ITEMLIST
0096 -1 28 0	send::private_message (PACKET_CZ_WHISPER)
00CF 27 27 0	PACKET_CZ_SETTING_WHISPER_PC
00D0 3 3 0		PACKET_CZ_SETTING_WHISPER_STATE
00D3 2 2 0		PACKET_CZ_REQ_WHISPER_LIST
00D5 -1 15 0	PACKET_CZ_CREATE_CHATROOM
00D9 14 14 0	PACKET_CZ_REQ_ENTER_ROOM
00DE -1 15 0	PACKET_CZ_CHANGE_CHATROOM
00E0 30 30 0	PACKET_CZ_REQ_ROLE_CHANGE
00E2 26 26 0	PACKET_CZ_REQ_EXPEL_MEMBER
00E3 2 2 0		PACKET_CZ_EXIT_ROOM
00E4 6 6 0		PACKET_CZ_REQ_EXCHANGE_ITEM
00E6 3 3 0		PACKET_CZ_ACK_EXCHANGE_ITEM
00E8 8 8 0		PACKET_CZ_ADD_EXCHANGE_ITEM
00EB 2 2 0		PACKET_CZ_CONCLUDE_EXCHANGE_ITEM
00ED 2 2 0		PACKET_CZ_CANCEL_EXCHANGE_ITEM
00EF 2 2 0		PACKET_CZ_EXEC_EXCHANGE_ITEM
00F3 8 8 0		send::storage_item_add (PACKET_CZ_MOVE_ITEM_FROM_BODY_TO_STORE)
00F5 8 8 0		send::storage_item_remove (PACKET_CZ_MOVE_ITEM_FROM_STORE_TO_BODY)
00F7 2 2 0		PACKET_CZ_CLOSE_STORE
00F9 26 26 0	PACKET_CZ_MAKE_GROUP
01E8 28 28 0	PACKET_CZ_MAKE_GROUP2
00FC 6 6 0		PACKET_CZ_REQ_JOIN_GROUP
00FF 10 10 0	PACKET_CZ_JOIN_GROUP
0102 6 6 0		send::party_setting (PACKET_CZ_CHANGE_GROUPEXPOPTION)
0100 2 2 0		PACKET_CZ_REQ_LEAVE_GROUP
0103 30 30 0	PACKET_CZ_REQ_EXPEL_GROUP_MEMBER
0108 -1 4 0		send::party_chat (PACKET_CZ_REQUEST_CHAT_PARTY)
0112 4 4 0		PACKET_CZ_UPGRADE_SKILLLEVEL
0113 10 10 0	send::skill_use (PACKET_CZ_USE_SKILL)
0116 10 10 0	send::skill_use_location (PACKET_CZ_USE_SKILL_TOGROUND)
0118 2 2 0		PACKET_CZ_CANCEL_LOCKON
011B 20 20 0	send::warp_tele (PACKET_CZ_SELECT_WARPPOINT)
011D 2 2 0		PACKET_CZ_REMEMBER_WARPPOINT
0126 8 8 0		PACKET_CZ_MOVE_ITEM_FROM_BODY_TO_CART
0127 8 8 0		PACKET_CZ_MOVE_ITEM_FROM_CART_TO_BODY
0128 8 8 0		PACKET_CZ_MOVE_ITEM_FROM_STORE_TO_CART
0129 8 8 0		PACKET_CZ_MOVE_ITEM_FROM_CART_TO_STORE
012A 2 2 0		PACKET_CZ_REQ_CARTOFF
012E 2 2 0		send::shop_close (PACKET_CZ_REQ_CLOSESTORE)
012F -1 84 0	PACKET_CZ_REQ_OPENSTORE
01B2 -1 85 0	send::shop_open (PACKET_CZ_REQ_OPENSTORE2)
0134 -1 8 0		send::buy_bulk_vender (PACKET_CZ_PC_PURCHASE_ITEMLIST_FROMMC)
0130 6 6 0		PACKET_CZ_REQ_BUY_FROMMC
0138 3 3 0		PACKET_CZ_PKMODE_CHANGE
013F 26 26 0	PACKET_CZ_ITEM_CREATE
0140 22 22 0	PACKET_CZ_MOVETO_MAP
0143 10 10 0	PACKET_CZ_INPUT_EDITDLG
0146 6 6 0		PACKET_CZ_CLOSE_DIALOG
0178 4 4 0		PACKET_CZ_REQ_ITEMIDENTIFY
017A 4 4 0		PACKET_CZ_REQ_ITEMCOMPOSITION_LIST
017C 6 6 0		PACKET_CZ_REQ_ITEMCOMPOSITION
01FD 15 15 0	PACKET_CZ_REQ_ITEMREPAIR
018A 4 4 0		send::quit_request (PACKET_CZ_REQ_DISCONNECT)
018E 10 10 0	PACKET_CZ_REQMAKINGITEM
0190 90 90 0	PACKET_CZ_USE_SKILL_TOGROUND_WITHTALKBOX
0197 4 4 0		PACKET_CZ_RESET
0198 8 8 0		PACKET_CZ_CHANGE_MAPTYPE
01AE 4 4 0		PACKET_CZ_REQ_MAKINGARROW
