#Packet extractor by lututui
#Date: 19/09/2017 15:36:33
#Encryption Keys: 0x72835543 0x28DE13E7 0x00C96C79
0187 6 6 0
0081 3 3 0
01C6 4 4 0
01C7 2 2 1
0064 55 55 0
0069 -1 47 0
006A 23 23 0
01DB 2 2 0
01DC -1 4 0
01DD 47 47 0
01FA 48 48 0
0204 18 18 0
01F1 -1 4 0
0200 26 26 0
01BE 2 2 0
01BF 3 3 0
0065 17 17 0
0066 3 3 0
0067 37 37 0
0970 31 31 0
020D -1 4 0
006B -1 4 0
006C 3 3 0
006D 146 146 0
006E 3 3 0
0071 28 28 0
0068 46 46 0
01FB 56 56 0
006F 2 2 0
0070 3 3 0
02CA 3 3 0
0072 19 19 0
0082 2 2 0
0085 5 5 0
0089 7 7 0
008C -1 4 0
007E 6 6 0
007D 2 2 0
0090 7 7 0
0099 -1 4 0
019C -1 4 0
009B 5 5 0
00CC 6 6 0
00CE 2 2 0
009F 6 6 0
00A2 6 6 0
00A7 8 8 0
00A9 6 6 0
00AB 4 4 0
00B8 7 7 0
00B9 6 6 0
00B2 3 3 0
00BA 2 2 0
00BB 5 5 0
00BF 3 3 0
00C1 2 2 0
00C5 7 7 0
00C8 -1 4 0
00C9 -1 4 0
0096 -1 28 0
00CF 27 27 0
00D0 3 3 0
00D3 2 2 0
00D5 -1 15 0
00D9 14 14 0
00DE -1 15 0
00E0 30 30 0
00E2 26 26 0
00E3 2 2 0
00E4 6 6 0
00E6 3 3 0
00E8 8 8 0
00EB 2 2 0
00ED 2 2 0
00EF 2 2 0
00F3 8 8 0
00F5 8 8 0
00F7 2 2 0
00F9 26 26 0
01E8 28 28 0
00FC 6 6 0
00FF 10 10 0
0102 6 6 0
0100 2 2 0
0103 30 30 0
0108 -1 4 0
0112 4 4 0
0113 10 10 0
0116 10 10 0
0118 2 2 0
011B 20 20 0
011D 2 2 0
0126 8 8 0
0127 8 8 0
0128 8 8 0
0129 8 8 0
012A 2 2 0
012E 2 2 0
012F -1 84 0
01B2 -1 85 0
0134 -1 8 0
0130 6 6 0
0138 3 3 0
013F 26 26 0
0140 22 22 0
0143 10 10 0
0146 6 6 0
0178 4 4 0
017A 4 4 0
017C 6 6 0
01FD 15 15 0
018A 4 4 0
018E 10 10 0
0190 90 90 0
0197 4 4 0
0198 4 4 0
01AE 6 6 0
025B 4 4 0
01AF 6 6 1
01B9 30 30 1
01CD 6 6 0
01CE 8 8 0
0443 28 28 1
01CF 8 8 1
01D0 8 8 1
01E1 14 14 1
01D1 10 10 1
01D2 6 6 0
0094 30 30 1
0095 102 102 1
0195 6 6 0
0193 6 6 0
0175 106 106 0
0176 53 53 1
0079 6 6 0
019D -1 4 1
014C 2 2 0
014D 6 6 1
014E 6 6 0
014F 110 110 1
0150 114 114 1
01B6 6 6 0
0151 -1 12 1
0152 -1 4 0
0153 -1 4 1
0154 -1 4 1
0166 -1 4 0
0155 -1 4 1
0156 6 6 0
0157 54 54 0
0159 66 66 1
015A 54 54 0
015B 90 90 1
015C 42 42 0
015D 6 6 1
015E 42 42 1
015F -1 4 1
0160 -1 4 0
0161 -1 6 1
0162 -1 4 1
0163 -1 4 1
0164 30 30 0
0165 3 3 1
0167 14 14 0
0168 3 3 1
0169 30 30 1
016A 10 10 0
016B 9 9 0
0149 6 6 1
014A 27 27 1
014B 186 186 0
016E 182 182 1
016F -1 4 0
017E -1 4 1
017F 30 30 0
0165 -1 4 1
0166 3 3 1
0167 14 14 0
0168 3 3 1
0169 30 30 1
016A 10 10 0
016B 43 43 1
016C 43 43 1
016C 14 14 1
016D 20 20 1
01F2 14 14 0
0170 30 30 1
0171 10 10 0
0172 3 3 1
0173 -1 4 1
0174 6 6 0
0180 3 3 1
0181 106 106 1
0182 10 10 0
0183 10 10 1
0184 34 34 1
0185 2 2 1
019E 6 6 0
019F 3 3 1
01A0 3 3 0
01A1 37 37 1
01A2 5 5 1
01A3 11 11 1
01A4 26 26 0
01A5 -1 4 1
01A6 4 4 0
01A7 4 4 0
01A8 6 6 0
01A9 10 10 1
01AA 3 3 0
01CA 11 11 1
01B0 7 7 1
01B1 26 26 0
01BA 26 26 0
01BB 26 26 0
01BC 26 26 0
01BD 2 2 0
01C0 14 14 1
01C1 10 10 1
01C2 35 35 1
01D3 -1 8 0
01D5 6 6 1
01D4 6 6 0
01DF 10 10 1
01F3 14 14 1
0284 10 10 1
01FF 2 2 0
01ED 2 2 0
01E7 6 6 0
01B7 14 14 0
01F7 14 14 0
01E3 9 9 0
01CB 6 6 0
01F9 6 6 0
01E5 -1 4 1
0201 10 10 0
0203 26 26 1
0205 11 11 1
0206 34 34 1
0207 14 14 0
0208 36 36 1
0209 10 10 1
020A 32 32 1
020E 26 26 0
0212 26 26 0
0213 42 42 1
0214 6 6 1
0215 6 6 1
0216 2 2 0
0217 2 2 0
0218 2 2 0
0225 282 282 1
0219 282 282 1
021A 282 282 1
0226 284 284 1
0282 10 10 1
021B 10 10 1
021C 10 10 1
0224 12 12 1
0280 6 6 1
0285 4 4 0
0286 6 6 0
021D 6 6 0
021E 66 66 1
021F 6 6 0
0222 -1 4 1
0221 10 10 1
0220 8 8 1
0223 11 11 1
0073 3 3 0
0074 -1 11 1
0075 9 9 1
0076 5 5 1
0077 55 55 1
0078 58 58 1
007A 60 60 1
007B 44 44 1
007C 6 6 1
007F 7 7 1
0080 2 2 1
0083 2 2 1
0084 16 16 1
0086 12 12 1
0087 10 10 1
0088 10 10 1
08CD 29 29 1
008A 23 23 1
008B -1 8 1
008D -1 4 1
008E 22 22 1
0091 28 28 1
0092 2 2 1
0093 -1 32 1
0097 3 3 1
0098 -1 4 1
009A 9 9 1
009C 17 17 1
009D 17 17 1
009E 23 23 1
00A0 6 6 1
00A1 -1 4 1
00A3 -1 4 1
00A4 -1 4 1
00A5 -1 4 1
00A6 7 7 1
00A8 9 9 1
00AA 7 7 1
00AC -1 4 1
00AE 6 6 1
00AF 8 8 1
00B0 8 8 1
00B1 3 3 0
00B3 -1 8 1
00B4 6 6 1
00B5 6 6 1
00B6 -1 8 1
00B7 6 6 1
00BC 44 44 1
00BD 5 5 1
00BE 7 7 1
00C0 6 6 1
00C2 8 8 1
00C3 6 6 1
00C4 -1 4 1
00C6 -1 4 1
00C7 3 3 1
00CA 3 3 1
00CB 3 3 1
00CD 4 4 1
00D1 4 4 1
00D2 -1 4 1
00D4 3 3 1
00D6 -1 17 1
00D7 6 6 1
00D8 3 3 1
00DA -1 8 1
00DB 28 28 1
00DC 29 29 1
00DD -1 17 1
00DF 30 30 1
00E1 26 26 1
00E5 3 3 1
00E7 19 19 1
00E9 5 5 1
00EA 3 3 1
00EC 2 2 1
00EE 3 3 1
00F0 2 2 1
00F1 6 6 1
00F2 21 21 1
00F4 8 8 1
00F6 2 2 1
00F8 3 3 1
00FA -1 28 1
00FB 27 27 1
00FD 30 30 1
00FE 6 6 1
0101 79 79 1
0104 31 31 1
0105 10 10 1
0106 10 10 1
0107 -1 8 1
0109 4 4 1
010A 6 6 1
010B 6 6 1
010C 2 2 1
010D 11 11 1
010E -1 4 1
010F -1 8 1
02B1 -1 8 1
02B2 -1 6 1
02B5 10 10 1
0110 39 39 1
0111 31 31 1
0114 35 35 1
0115 18 18 1
0117 13 13 1
0119 15 15 1
0229 15 15 1
011A 68 68 1
011C 3 3 1
011E 16 16 1
011F 6 6 1
0120 14 14 1
0121 -1 4 1
0122 -1 4 1
0123 21 21 1
0124 8 8 1
0125 2 2 1
012B 3 3 1
012C 4 4 1
012D 86 86 1
0131 6 6 1
0132 -1 8 1
0133 7 7 1
0135 -1 8 1
0136 6 6 1
0137 16 16 1
0139 4 4 1
013A 4 4 1
013B 4 4 1
013C 6 6 1
013D 24 24 1
013E 14 14 1
0141 6 6 1
0142 23 23 1
0144 19 19 1
0145 39 39 1
0147 8 8 1
0148 -1 4 1
0177 5 5 1
0179 -1 4 1
017B 7 7 1
017D 8 8 1
0188 4 4 1
0189 4 4 0
018B 29 29 1
018C -1 4 1
018D 6 6 1
018F 86 86 1
0191 24 24 1
0192 30 30 1
0194 9 9 1
0196 18 18 1
028A 4 4 1
0199 14 14 1
019A 10 10 1
019B 12 12 1
01AB 6 6 1
01AC -1 4 1
01AD -1 4 1
025A 67 67 1
01B3 12 12 1
01B4 18 18 0
01B5 3 3 1
01B8 -1 16 1
01C3 22 22 1
01C4 22 22 1
01C5 13 13 1
01C8 97 97 1
01C9 9 9 1
01CC 4 4 1
01D6 11 11 1
01D7 54 54 1
01D8 58 58 1
022A 53 53 1
