EFST_PROVOKE 挑衅状态
EFST_ENDURE 霸体状态
EFST_TWOHANDQUICKEN 双手剑加速状态
EFST_CONCENTRATION 心神凝聚状态
EFST_HIDING 隐匿状态
EFST_CLOAKING 伪装状态
EFST_ENCHANTPOISON 武器涂毒状态
EFST_POISONREACT 毒性反弹状态
EFST_QUAGMIRE 泥沼地状态
EFST_ANGELUS 天使之障壁状态
EFST_BLESSING 天使之赐福状态
EFST_CRUCIS 天使之光状态
EFST_INC_AGI 加速术状态
EFST_DEC_AGI 缓速术状态
EFST_SLOWPOISON 缓毒术状态
EFST_IMPOSITIO 神威祈福状态
EFST_SUFFRAGIUM 牺牲祈福状态
EFST_ASPERSIO 撒水祈福状态
EFST_BENEDICTIO 圣之祈福状态
EFST_KYRIE 霸邪之阵状态
EFST_MAGNIFICAT 圣母之颂歌状态
EFST_GLORIA 幸运之颂歌状态
EFST_LEXAETERNA 天使之怒状态
EFST_ADRENALINE 速度激发状态
EFST_WEAPONPERFECT 无视体型攻击状态
EFST_OVERTHRUST 凶砍状态
EFST_MAXIMIZE 武器值最大化状态
EFST_RIDING 骑宠出租中
EFST_FALCON 装备猎鹰状态
EFST_TRICKDEAD 装死状态
EFST_SHOUT 大声呐喊状态
EFST_ENERGYCOAT 能量外套状态
EFST_BROKENARMOR 防具破碎状态
EFST_BROKENWEAPON 武器破碎状态
EFST_ILLUSION 幻视状态
EFST_WEIGHTOVER50 负重 50%
EFST_WEIGHTOVER90 负重 90%
EFST_ATTHASTE_POTION1 集中药水状态
EFST_ATTHASTE_POTION2 觉醒药水状态
EFST_ATTHASTE_POTION3 菠色克药水状态
EFST_ATTHASTE_INFINITY 无限攻击加速状态
EFST_MOVHASTE_POTION 移动速度上升状态
EFST_MOVHASTE_INFINITY 无限移动加速状态
EFST_AUTOCOUNTER 反击状态
EFST_SPLASHER 毒性感染状态
EFST_ANKLESNARE 定位陷阱状态
EFST_POSTDELAY 动作延迟
EFST_NOACTION
EFST_IMPOSSIBLEPICKUP
EFST_BARRIER 能源外套状态
EFST_NOEQUIPWEAPON 卸除武器状态
EFST_NOEQUIPSHIELD 卸除盾牌状态
EFST_NOEQUIPARMOR 卸除铠甲状态
EFST_NOEQUIPHELM 卸除头盔状态
EFST_PROTECTWEAPON 化学武器保护状态
EFST_PROTECTSHIELD 化学盾牌保护状态
EFST_PROTECTARMOR 化学铠甲保护状态
EFST_PROTECTHELM 化学头盔保护状态
EFST_AUTOGUARD 自动防御状态
EFST_REFLECTSHIELD 反射盾状态
EFST_DEVOTION 牺牲状态
