EFST_PROVOKE プロボック
EFST_ENDURE インデュア
EFST_TWOHANDQUICKEN ツーハンドクイッケン
EFST_CONCENTRATION 集中力向上
EFST_HIDING ハイディング
EFST_CLOAKING クローキング
EFST_ENCHANTPOISON 武器属性付与
EFST_POISONREACT ポイズンリアクト
EFST_QUAGMIRE クァグマイア
EFST_ANGELUS エンジェラス
EFST_BLESSING ブレッシング
EFST_CRUCIS シグナムクルシス
EFST_INC_AGI 速度増加
EFST_DEC_AGI 速度減少
EFST_SLOWPOISON スローポイズン
EFST_IMPOSITIO イムポシティオマヌス
EFST_SUFFRAGIUM サフラギウム
EFST_ASPERSIO 武器属性付与
EFST_BENEDICTIO 鎧属性付与
EFST_KYRIE キリエエレイソン
EFST_MAGNIFICAT マグニフィカート
EFST_GLORIA グロリア
EFST_LEXAETERNA レックスエーテルナ
EFST_ADRENALINE アドレナリンラッシュ
EFST_WEAPONPERFECT ウェポンパーフェクション
EFST_OVERTHRUST オーバートラスト
EFST_MAXIMIZE マキシマイズパワー
EFST_RIDING 騎乗中
EFST_FALCON ファルコンマスタリー
EFST_TRICKDEAD 死んだふり
EFST_SHOUT ラウドボイス
EFST_ENERGYCOAT エナジーコート
EFST_BROKENARMOR 鎧破壊状態
EFST_BROKENWEAPON 武器破壊状態
EFST_ILLUSION 幻覚状態
EFST_WEIGHTOVER50 重量50%以上
EFST_WEIGHTOVER90 重量90%以上
EFST_ATTHASTE_POTION1 攻撃速度増加
EFST_ATTHASTE_POTION2 攻撃速度増加
EFST_ATTHASTE_POTION3 攻撃速度増加
EFST_MOVHASTE_POTION 移動速度増加
EFST_MOVHASTE_INFINITY 移動速度増加
EFST_NOEQUIPWEAPON 武器解除状態
EFST_NOEQUIPSHIELD 盾解除状態
EFST_NOEQUIPARMOR 鎧解除状態
EFST_NOEQUIPHELM 兜解除状態
EFST_PROTECTWEAPON ケミカルウェポンチャージ
EFST_PROTECTSHIELD ケミカルシールドチャージ
EFST_PROTECTARMOR ケミカルアーマーチャージ
EFST_PROTECTHELM ケミカルヘルムチャージ
EFST_AUTOGUARD オートガード
EFST_REFLECTSHIELD リフレクトシールド
EFST_PROVIDENCE プロヴィデンス
EFST_DEFENDER ディフェンダー
EFST_WEAPONPROPERTY 武器属性付与
EFST_AUTOSPELL オートスペル
EFST_SPEARQUICKEN スピアクイッケン
EFST_STEELBODY 金剛
EFST_EXTREMITYFIST 阿修羅覇凰拳
EFST_PROPERTYFIRE 武器属性付与
EFST_PROPERTYWATER 武器属性付与
EFST_PROPERTYWIND 武器属性付与
EFST_PROPERTYGROUND 武器属性付与
EFST_PROPERTYUNDEAD 鎧属性付与
EFST_PARRYING パリイング
EFST_TENSIONRELAX テンションリラックス
EFST_ASSUMPTIO アスムプティオ
EFST_GROUNDMAGIC ジェムストーンの消費なしで
EFST_EDP エンチャントデッドリーポイズン
EFST_TRUESIGHT トゥルーサイト
EFST_WINDWALK ウィンドウォーク
