# kRO Zero Date: 2018-01-17a
# Thanks to @4144
07EC 087A
0937 093B
088F 0860
0862 094D
0935 0943
0817 089A
0873 0366
086B 089C
0281 022D
0936 0952
0918 085C
0362 08A5
0865 08AC
0876 0956
0954 088C
0878 0965
0949 095C
091E 0879
0898 0894
086A 089F
0897 08A9
0932 0941
0930 0966
088E 08A2
08A4 085D
0835 0960
0922 0961
0880 0968
0202 08AA
092B 08A1
0939 085E
087F 088B
091D 0872
0877 086C
091A 08A3
0875 0947
094E 0811
087E 0888
095B 094F
093E 0945
0868 0885
0365 0892
0923 0887
095A 0924
08A8 094B
0883 094A
087C 0969
0802 0944
087B 0931
092A 0368
0367 0920
088D 085A
092F 0957
093D 095D
0436 096A
08AD 0360
088A 0950
0369 0819
0871 0967
0948 035F
092E 0951
0938 08A0
0869 0953
091B 0363
0889 0959
093A 095F
0861 0882
0437 093C
0962 0917
092C 0896
0955 0926
0838 085B
0863 0925
0927 089B
0870 0874
08A7 0934
0895 094C
0867 08AB
0958 0864
093F 0964
02C4 023B
085F 0815
0940 086D
08A6 0942
