ID	Name	Level	Hp	AttackRange	SkillRange	AttackDelay	AttackMotion	Size	Race	Element	ElementLevel	ChaseRange	Ai	isAIMode_Aggressive	isAIMode_Looter	isAIMode_Assist	isAIMode_CanMove	isAIMode_CastSensorIdle	isAIMode_CastSensorChase	isAIMode_MVP	isAIMode_KnockbackImmune	isAIMode_Detector	isAIMode_TakesFixed_1_Damage_Melee	isAIMode_TakesFixed_1_Damage_Ranged	isAIMode_TakesFixed_1_Damage_Magic	isAIMode_TakesFixed_1_Damage_None
1001	Scorpion	16	136	1	10	1564	864	Small	Insect	Fire	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1002	Poring	1	55	1	10	1872	672	Medium	Plant	Water	1	12	02	0	1	0	1	0	0	0	0	0	0	0	0	0
1004	Hornet	11	85	1	10	1292	792	Small	Insect	Wind	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1005	Familiar	24	330	1	10	1276	576	Small	Brute	Shadow	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1007	Fabre	6	59	1	10	1672	672	Small	Insect	Earth	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1008	Pupa	4	51	1	10	1001	1	Small	Insect	Earth	1	12	06	0	0	0	0	0	0	0	0	1	0	0	0	0
1009	Condor	12	105	1	10	1148	648	Medium	Brute	Wind	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1010	Willow	8	78	1	10	1672	672	Medium	Plant	Earth	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1011	Chonchon	5	48	1	10	1076	576	Small	Insect	Wind	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1012	Roda Frog	13	140	1	10	2016	816	Medium	Fish	Water	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1013	Wolf	45	1091	1	10	1054	504	Medium	Brute	Earth	1	12	03	0	0	1	1	0	0	0	0	0	0	0	0	0
1014	Spore	18	223	1	10	1872	672	Medium	Plant	Water	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1015	Zombie	17	204	1	10	2612	912	Medium	Undead	Undead	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1016	Archer Skeleton	50	1458	9	10	2864	864	Medium	Undead	Undead	1	12	05	1	0	0	1	0	0	0	0	0	0	0	0	0
1018	Creamy	23	247	1	10	1136	720	Small	Insect	Wind	1	12	01	0	0	0	1	0	0	0	0	1	0	0	0	0
1019	Peco Peco	25	354	1	10	1564	864	Large	Brute	Fire	1	12	03	0	0	1	1	0	0	0	0	0	0	0	0	0
1020	Mandragora	13	140	4	10	1768	768	Medium	Plant	Earth	3	12	10	1	0	0	0	0	0	0	0	0	0	0	0	0
1023	Orc Warrior	44	1047	1	10	1864	864	Medium	Demi-Human	Earth	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1024	Wormtail	17	186	1	10	1048	48	Medium	Plant	Earth	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1025	Boa	18	203	1	10	1576	576	Medium	Brute	Earth	1	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1026	Munak	58	2002	1	10	2468	768	Medium	Undead	Undead	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1028	Soldier Skeleton	34	691	1	10	2276	576	Medium	Undead	Undead	1	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1029	Isis	59	2252	1	10	1384	768	Large	Demon	Shadow	1	12	19	1	0	0	1	1	0	0	0	1	0	0	0	0
1030	Anacondaq	100	9233	1	10	1576	576	Medium	Brute	Poison	1	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1031	Poporing	30	489	1	10	1672	672	Medium	Plant	Poison	1	12	02	0	1	0	1	0	0	0	0	0	0	0	0	0
1032	Verit	52	1642	1	10	2468	768	Medium	Undead	Undead	1	12	02	0	1	0	1	0	0	0	0	0	0	0	0	0
1033	Elder Willow	34	535	1	10	1372	672	Medium	Plant	Fire	2	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1034	Thara Frog	40	975	1	10	2016	816	Medium	Fish	Water	2	12	01	0	0	0	1	0	0	0	0	0	0	0	0	0
1035	Hunter Fly	63	1902	1	10	676	576	Small	Insect	Wind	2	12	04	1	0	0	1	0	0	0	0	1	0	0	0	0
1036	Ghoul	61	2429	1	10	2456	912	Medium	Undead	Undead	2	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1037	Side Winder	70	2698	1	10	1576	576	Medium	Brute	Poison	1	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
1038	Osiris	68	1175840	1	10	1072	672	Medium	Undead	Undead	4	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1039	Baphomet	81	668000	2	10	768	768	Large	Demon	Shadow	3	12	21	1	0	0	1	1	1	1	1	1	0	0	0	0
1040	Golem	61	2324	1	10	1608	816	Large	Formless	Neutral	3	12	17	0	0	0	1	1	0	0	0	0	0	0	0	0
1041	Mummy	55	1899	1	10	1772	72	Medium	Undead	Undead	2	12	04	1	0	0	1	0	0	0	0	0	0	0	0	0
1042	Steel Chonchon	48	985	1	10	1076	576	Small	Insect	Wind	1	12	07	0	1	1	1	0	0	0	0	1	0	0	0	0
1044	Obeaune	53	1776	1	10	1872	672	Medium	Fish	Water	2	12	19	1	0	0	1	1	0	0	0	0	0	0	0	0
