# Client Date <20170703>
# PacketExtractor by BryanWai
093C 08A5
08A7 0955
0923 0A5A
0899 087E
0811 0874
0887 094A
089A 0888
08A1 089D
0898 0895
092B 087D
0363 0927
0867 095A
0954 0802
089E 0368
0951 094E
0946 07E4
0281 095F
0893 0369
094B 089B
083C 087A
092A 0891
0880 091F
086B 022D
023B 035F
0953 0964
0364 0948
0945 0925
0878 0956
093F 0882
0884 0936
0886 085E
0202 086C
0862 0868
08A2 086F
088C 0932
0366 0957
094D 0865
0959 092F
0883 0864
092E 091E
087B 0965
08AC 085B
0967 0365
088E 08A0
0860 0815
093A 0941
0A69 0A6E
0961 07EC
0863 0838
088D 091C
0871 0924
095E 0940
088A 0937
0835 091D
0866 0360
085A 0872
093E 0917
089F 0367
0933 0960
0875 0876
092D 086D
0879 093B
0885 088F
08AB 0949
0889 0930
086A 08A6
0943 091B
0A5C 0869
0968 0817
096A 0934
0A68 0962
087C 0922
08A4 0944
095D 0966
085C 0969
092C 08A3
0931 0942
0929 086E
0939 0881
0894 0928
0921 095B
0362 0361
091A 0877
0890 0861
