EFST_OVERTHRUSTMAX 凶砍最大值
EFST_SUFFRAGIUM 犧牲祈福
EFST_OVERTHRUST 凶砍
EFST_BEYOND_OF_WARCRY 戰嚎的彼端
EFST_SWORDREJECT 
EFST_MANU_DEF 魔怒克的意志
EFST_ENERVATION 面具 : 無力
EFST_CONCENTRATION 心神凝聚
EFST_GS_MADNESSCANCEL 瘋狂凱斯樂
EFST_GS_ACCURACY 命中率遞增
EFST_HALLUCINATIONWALK 幻影步
EFST_STORMKICK_ON 依機率會採迴旋踢準備姿勢
EFST_KAUPE 凱誣僕
EFST_SHIELDSPELL_DEF 盾咒 - 防
EFST_WARMER 加熱器
EFST_PROTECT_MDEF 魔法防禦藥水
EFST_STAR_COMFORT 星星的平安感
EFST_GLOOMYDAY 羞怯一天的憂鬱
EFST_SIRCLEOFNATURE 循環的大自然之音
EFST_DEADLYINFECT 致命感染
EFST_SYMPHONY_LOVE 戀人交響樂
EFST_BANDING 聚集
EFST_NJ_BUNSINJYUTSU 幻影分身
EFST_WUGRIDER 騎狼術
EFST_ATKER_BLOOD SP 消耗量減少藥水
EFST_BODYPAINT 人體彩繪
EFST_NJ_UTSUSEMI 金蟬脫殼
EFST_POISONINGWEAPON 劇毒武器
EFST_GS_ADJUSTMENT 終極閃躲
EFST_AUTOSPELL 自動念咒
EFST_DEC_AGI 敏捷降低
EFST_NOEQUIPWEAPON 卸除武器
EFST_SHIELDSPELL_MDEF 盾咒 - 魔
EFST_AUTOGUARD 自動防禦
EFST_TAROTCARD 命運的塔羅牌
EFST_FEARBREEZE 微風恐懼
EFST_GN_CARTBOOST 手推車加速
EFST_SHIELDSPELL_REF 盾咒 - 鍊
EFST_NOEQUIPSHIELD 卸除盾牌
EFST_MELTDOWN 野蠻凶砍
EFST_QUAGMIRE 泥沼地
EFST_KAIZEL 凱易哲
EFST_CR_SHRINK 退縮
EFST_PARRYING 雙劍挌擋
EFST_PROTECTWEAPON 化學武器保護
EFST_INC_AGI 加速術
EFST_SHOUT 大聲吶喊
EFST_SPL_DEF 魯修拉的蜜醬
